Date,Ride Time,Miles,Max Speed,Average Speed
"Jan 15, 2020, 1:52:20 AM",0.13,1.33,15.44,10.97
"Jan 15, 2020, 3:11:15 AM",0.24,2.71,27.29,11.59
"Jan 16, 2020, 2:55:14 AM",0.20,2.18,16.78,11.72
"Jan 17, 2020, 3:35:26 AM",0.31,4.13,20.80,13.22
"Jan 21, 2020, 12:11:52 AM",1.25,13.94,24.16,11.83
"Jan 23, 2020, 3:44:42 AM",0.27,3.42,24.61,12.80
"Jan 25, 2020, 4:05:33 AM",0.36,2.58,18.79,11.00
"Jan 28, 2020, 1:14:51 AM",1.15,6.92,36.24,7.30
"Jan 29, 2020, 2:47:35 AM",0.71,4.18,21.70,6.42
"Jan 31, 2020, 1:01:09 AM",0.46,4.80,21.25,10.73
"Feb 8, 2020, 2:20:25 AM",0.22,1.30,17.22,6.42
"Feb 10, 2020, 1:51:24 AM",0.25,1.16,20.80,6.71
"Feb 10, 2020, 11:46:46 PM",0.77,3.44,29.75,6.47
"Feb 13, 2020, 1:35:59 AM",0.26,2.70,19.69,10.65
"Feb 19, 2020, 3:20:24 AM",0.39,4.57,28.63,12.31
"Feb 22, 2020, 2:42:25 AM",1.05,4.12,22.37,5.35
"Feb 29, 2020, 3:05:14 AM",2.30,21.57,31.99,10.26
"Mar 1, 2020, 1:18:41 AM",2.32,9.36,52.79,6.00
"Mar 5, 2020, 4:17:58 AM",0.13,1.35,24.16,11.72
"Mar 7, 2020, 11:25:22 PM",2.15,9.97,45.86,6.64
"Mar 13, 2020, 1:47:19 AM",0.34,1.20,17.22,5.77
"Apr 7, 2020, 3:04:16 AM",1.71,11.36,29.75,8.69
"Apr 9, 2020, 1:24:02 AM",2.29,18.71,51.00,9.34
"Apr 14, 2020, 1:07:06 AM",2.56,4.61,40.27,11.84
"Apr 18, 2020, 3:55:16 AM",0.61,4.71,16.78,8.71
"Apr 18, 2020, 11:05:28 PM",2.51,12.02,28.41,7.34
"Apr 20, 2020, 2:43:58 AM",0.64,3.05,22.82,7.64
"May 3, 2020, 3:30:39 AM",2.01,11.81,23.26,9.64
"May 8, 2020, 3:10:21 AM",1.56,14.47,37.81,10.89
"May 9, 2020, 4:18:37 AM",0.61,5.87,20.36,10.62
"May 13, 2020, 2:29:23 AM",1.11,12.17,29.08,12.05
"May 17, 2020, 3:56:09 AM",1.21,14.98,50.56,13.11
"May 20, 2020, 3:37:14 AM",1.36,15.53,42.73,12.20
"May 22, 2020, 3:45:30 AM",1.35,14.21,42.95,11.59
"May 23, 2020, 4:49:39 AM",1.16,12.24,27.52,11.60
"May 24, 2020, 3:31:12 AM",0.40,3.47,20.80,9.88
"May 27, 2020, 4:12:33 AM",0.97,10.77,21.92,11.76
"May 29, 2020, 4:09:43 AM",1.25,12.90,31.32,11.77
"Jun 1, 2020, 3:25:35 AM",1.39,13.27,26.62,11.41
"Jun 2, 2020, 3:24:50 AM",1.02,10.69,28.19,11.34
"Jun 3, 2020, 3:20:27 AM",1.54,3.18,20.58,8.84
"Jun 4, 2020, 3:20:11 AM",1.33,14.18,32.88,11.96
"Jun 5, 2020, 4:23:22 AM",1.00,4.39,19.01,6.85
"Jun 6, 2020, 4:30:27 AM",0.19,2.12,24.83,11.82
"Jun 9, 2020, 4:00:54 AM",1.26,11.35,24.83,10.35
"Jun 14, 2020, 3:36:09 AM",0.35,2.98,20.36,10.44
"Jun 15, 2020, 4:17:44 AM",0.75,3.69,17.45,7.82
"Jun 16, 2020, 3:53:19 AM",1.00,9.76,21.70,11.06
"Jun 19, 2020, 3:59:36 AM",1.06,11.25,19.69,11.39
"Jun 20, 2020, 3:27:24 AM",0.58,6.13,20.58,11.30
"Jun 23, 2020, 3:51:33 AM",0.56,6.43,21.92,12.32
"Jun 24, 2020, 3:48:36 AM",1.04,9.83,28.86,11.11
"Jun 25, 2020, 3:51:07 AM",0.90,9.59,18.79,11.48
"Jun 26, 2020, 4:01:34 AM",0.48,4.29,16.78,11.15
"Jun 30, 2020, 2:54:57 AM",2.48,22.49,30.42,10.80
